============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(200 keV) ==> Gold+nickel( 4.00 mm) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B    1  1 ,1278517E+06 -  1545729E-07  ,2935E+04  ,1555E+03  -,0896106  ,9659514  ,2427092
B    2  1 ,7038609E+05 -  6167671E-07  ,6272E+04  ,1401E+03  -,2565263  ,6705213  ,6961289
B    3  1 ,1510795E+06 -  1963261E-07  ,1890E+04  ,4185E+02  -,0877897  ,9929417  ,0797482
B    4  1 ,5579785E+05 -  6371662E-07  ,6861E+04 -,5555E+03  -,7219563  ,6748983  ,1526152
B    6  1 ,9810455E+05 -  6437048E-07  ,5412E+04  ,2581E+03  -,4071864  ,9086605  ,0923873
B   11  1 ,1467924E+06 -  1116241E-07  ,2364E+04  ,1208E+03  -,1096868  ,9929989  ,0438408
B   20  1 ,1459005E+06 -  3278222E-07  ,2019E+04  ,4754E+03  -,2635553  ,2547859  ,9303885
B   24  1 ,2937467E+05 -  4059976E-07  ,6468E+04 -,3772E+04  -,9274833  ,3225008 -,1891243
B   27  1 ,4957736E+05 -  2854515E-07  ,6656E+04 -,1261E+04  -,5097183  ,8538144 -,1057746
B   28  1 ,1429574E+05 -  2562412E-07  ,7182E+04  ,4968E+04  -,2143914  ,3048009  ,9279724
B   31  1 ,1475378E+06 -  1038516E-06  ,2394E+04 -,1793E+03  -,4669391  ,8139109 -,3457122
B   32  1 ,1444502E+06 -  9344957E-07  ,2848E+04 -,9606E+02  -,4984853  ,8480579 -,1797504
B   34  1 ,1180837E+06 -  3814581E-07  ,3602E+04 -,3821E+02  -,5665293  ,8226987  ,0470250
B   35  1 ,1849625E+04 -  1096069E-06  ,9174E+04 -,9444E+02  -,8529221  ,1406870  ,5027236
B   39  1 ,4448548E+05 -  3221623E-07  ,6068E+04 -,3261E+04  -,2774033  ,4956259 -,8230446
B   43  1 ,6566488E+05 -  2290567E-07  ,5949E+04 -,1893E+03  -,3779313  ,8612950  ,3396157
