============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(200 keV) ==> Gold+nickel( 4.00 mm) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B    1  1 ,1116035E+06 -  3316309E-07  ,3778E+04  ,1033E+03  -,3432060  ,9392310  ,0074060
B    4  1 ,1364537E+06 -  1422724E-07  ,2808E+04 -,2231E+03  -,3517696  ,9347234  ,0505006
B    9  1 ,1622761E+06 -  1880551E-08  ,1995E+04  ,1970E+03  -,1536930  ,9739687  ,1666236
B   20  1 ,1166413E+06 -  3755737E-07  ,3774E+04 -,3546E+03  -,3524156  ,9116213 -,2115417
B   23  1 ,1626080E+06 -  2607218E-07  ,1877E+04  ,5992E+02  -,2853758  ,9512654  ,1168534
B   31  1 ,9519430E+05 -  6363642E-07  ,5402E+04 -,2818E+03  -,4050607  ,9108822  ,0788637
B   32  1 ,8585972E+05 -  7494010E-07  ,4795E+04 -,2747E+03  -,4979100  ,8654295 -,0558346
B   36  1 ,1136843E+06 -  4672172E-08  ,3816E+04 -,3136E+03  -,1526654  ,9725473 -,1756278
B   44  1 ,7865086E+04 -  8907699E-07  ,8500E+04  ,4959E+03  -,7874675  ,5816611 -,2038757
B   51  1 ,3110929E+04 -  1018235E-06  ,6577E+04  ,5822E+03  -,5217495 -,2812769  ,8053948
B   52  1 ,1375111E+06 -  2348557E-07  ,3233E+04  ,1241E+03  -,1830027  ,9769161 -,1102041
B   53  1 ,2744724E+05 -  1117548E-08  ,8766E+04 -,1188E+04  -,3154551  ,9248958 -,2122636
B   58  1 ,1476921E+06 -  1423891E-07  ,3128E+04 -,6733E+03  -,1889304  ,9270824 -,3237646
B   68  1 ,9734809E+05 -  5734109E-07  ,4610E+04 -,9688E+02  -,3156697  ,9483435  ,0315781
B   72  1 ,3595760E+04 -  4241680E-07  ,8619E+04 -,1538E+04  -,8369434  ,1919791 -,5125132
B   78  1 ,8754948E+05 -  2470133E-09  ,4599E+04 -,4515E+03  -,2364947  ,8447480 -,4800740
B   79  1 ,1312779E+06 -  3920709E-07  ,2959E+04 -,2905E+03  -,2541808  ,8285068 -,4989675
