============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(500 keV) ==> Gold+Epoxy+Aluminium( 1519 km) ============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B    1  1 ,4611827E+06 -  8805464E-08  ,2415E+04 -,1137E+02  -,0413903  ,9990282 -,0151476
B    2  1 ,9832863E+05 -  1788031E-06  ,1999E+05 -,6803E+04  -,7334204 -,2839657 -,6176229
B    3  1 ,4055304E+06 -  1237427E-07  ,5883E+04 -,7711E+03  -,0936928  ,9889180 -,1151642
B    4  1 ,4275551E+06 -  9549040E-08  ,4057E+04  ,1226E+03  -,0621407  ,9979101  ,0177169
B    5  1 ,2895823E+06 -  1010012E-07  ,1155E+05  ,2788E+03  -,2267939  ,9636189 -,1414322
B    6  1 ,3707078E+06 -  1344640E-07  ,7947E+04  ,9312E+03  -,0948327  ,8480422  ,5213743
B    7  1 ,2850106E+06 -  1024380E-07  ,1247E+05  ,8336E+03  -,1316354  ,9834166  ,1247557
B   11  1 ,4672310E+06 -  4446771E-08  ,2095E+04  ,2871E+02  -,0636162  ,9959114  ,0641356
B   12  1 ,4817443E+06 -  9108606E-07  ,9118E+03  ,1108E+00  -,4199397  ,9057716 -,0568198
B   14  1 ,4716675E+06 -  4002675E-08  ,2184E+04  ,4237E+02  -,0774138  ,9913612  ,1058780
B   16  1 ,3991311E+06 -  4265525E-07  ,5551E+04  ,4980E+02  -,2631540  ,9646632 -,0132288
B   17  1 ,4580996E+06 -  1221615E-08  ,3195E+04  ,1802E+03  -,0703016  ,9841039  ,1630864
B   19  1 ,3029309E+06 -  1071402E-07  ,9869E+04  ,8993E+03  -,1664825  ,9482434  ,2704035
B   20  1 ,4832082E+06 -  6668450E-08  ,1271E+04 -,7605E+01  -,0683364  ,9973361 -,0255125
B   21  1 ,4581530E+06 -  5951488E-08  ,2517E+04 -,2859E+02  -,0284229  ,9993021 -,0242370
B   22  1 ,4733181E+06 -  1019648E-08  ,1496E+04  ,1739E+01  -,0560778  ,9984051 -,0065242
B   23  1 ,3186327E+06 -  1511474E-07  ,1024E+05 -,3948E+03  -,1195621  ,9766465 -,1785118
B   24  1 ,5549481E+05 -  5537862E-07  ,2311E+05 -,7452E+03  -,4628520  ,8404981 -,2816575
B   27  1 ,4372017E+05 -  2889288E-07  ,2387E+05  ,4494E+04  -,2412560  ,7093502  ,6622823
B   28  1 ,7440016E+05 -  2227696E-07  ,2190E+05  ,3389E+04  -,4429837  ,8538634  ,2732814
B   29  1 ,4281103E+06 -  4388002E-08  ,4459E+04 -,9101E+02  -,0429885  ,9981986 -,0418503
B   31  1 ,4627898E+06 -  4300369E-08  ,2589E+04 -,1778E+03  -,0784489  ,9370751 -,3402000
B   32  1 ,1699458E+06 -  3024923E-07  ,1647E+05  ,1754E+04  -,9874202  ,0493351 -,1502244
B   33  1 ,4247508E+06 -  1470943E-08  ,3950E+04  ,6252E+02  -,0167892  ,9993412 -,0321762
B   36  1 ,2920507E+06 -  8119525E-08  ,1100E+05 -,3332E+03  -,0882057  ,9922230  ,0878251
B   38  1 ,4539984E+06 -  2522873E-08  ,2893E+04  ,3904E+02  -,0297229  ,9974591  ,0647443
B   39  1 ,4624512E+06 -  2140423E-07  ,2709E+04  ,2419E+01  -,0930606  ,9955668 -,0136561
B   42  1 ,4040697E+06 -  1630364E-07  ,6497E+04 -,1138E+03  -,1427600  ,9874623 -,0673624
B   43  1 ,1483982E+06 -  2606256E-07  ,1996E+05  ,1440E+04  -,2144816  ,9690248 -,1224278
B   45  1 ,4799487E+06 -  2196781E-08  ,1334E+04 -,1385E+02  -,0209593  ,9995672 -,0206414
B   46  1 ,4140333E+06 -  7805724E-08  ,6012E+04  ,6592E+03  -,0545711  ,9894381  ,1342915
B   47  1 ,3378818E+06 -  9583809E-08  ,9698E+04 -,1629E+02  -,0684272  ,9961553 -,0547018
B   48  1 ,4558286E+06 -  1941698E-07  ,2440E+04  ,1044E+02  -,0879699  ,9920028  ,0905080
B   51  1 ,1175863E+06 -  5656066E-08  ,2038E+05  ,2324E+04  -,2981501  ,8224945  ,4843648
B   52  1 ,3945465E+06 -  7122900E-08  ,5777E+04  ,2944E+02  -,0589051  ,9977926  ,0306607
B   53  1 ,4394009E+06 -  1769221E-08  ,3977E+04 -,4250E+02  -,0181012  ,9992750  ,0334922
B   55  1 ,4099672E+06 -  6377055E-08  ,5402E+04  ,1230E+03  -,0641144  ,9979390  ,0026706
B   56  1 ,3110720E+06 -  9418359E-08  ,1032E+05 -,4439E+02  -,1080785  ,9939830 -,0177980
B   57  1 ,4670510E+06 -  1024917E-07  ,1701E+04 -,3892E+02  -,0466395  ,9951653 -,0864343
B   59  1 ,2261548E+06 -  1627687E-07  ,1412E+05 -,2495E+04  -,1331841  ,9535094 -,2703363
B   60  1 ,3465340E+06 -  2867102E-07  ,9342E+04 -,8225E+03  -,1264098  ,9157769 -,3812785
B   61  1 ,4644344E+06 -  2029974E-08  ,2525E+04 -,5599E+02  -,0106974  ,9993695 -,0338564
B   64  1 ,4550059E+06 -  7646093E-08  ,3241E+04 -,3095E+02  -,0455678  ,9989212 -,0089466
B   65  1 ,2389672E+06 -  3255265E-07  ,1319E+05  ,2189E+04  -,1424365  ,9603654  ,2396043
B   66  1 ,4599714E+06 -  4323079E-08  ,1958E+04 -,1559E+01  -,0442257  ,9989811  ,0089971
B   67  1 ,2838145E+06 -  1380344E-07  ,1249E+05  ,3009E+03  -,2155018  ,9571785  ,1933089
B   69  1 ,4899548E+06 -  1236364E-08  ,6800E+03  ,6266E+01  -,0064571  ,9999142  ,0113932
B   70  1 ,4658287E+06 -  2041247E-07  ,2375E+04  ,6285E+02  -,1156594  ,9797179  ,1636331
B   72  1 ,4635714E+06 -  1127683E-07  ,2447E+04  ,5588E+02  -,0661273  ,9958354  ,0627625
B   73  1 ,4818286E+06 -  1494234E-07  ,1287E+04 -,2917E+02  -,1606382  ,9634688 -,2142969
B   74  1 ,4580081E+06 -  1479861E-07  ,2524E+04 -,2179E+03  -,1019613  ,9804640 -,1682087
B   75  1 ,3332499E+06 -  1569467E-07  ,9437E+04 -,4975E+03  -,1232067  ,9921382 -,0219545
B   77  1 ,4673434E+06 -  7004842E-09  ,1832E+04 -,1475E+02  -,0299142  ,9991553 -,0281751
B   79  1 ,4424866E+06 -  9239409E-08  ,3761E+04  ,7466E+02  -,0715797  ,9939663  ,0831100
B   81  1 ,4681883E+06 -  1106491E-07  ,2405E+04  ,2651E+02  -,0733245  ,9963262  ,0442452
B   82  1 ,3227938E+05 -  1412495E-06  ,2411E+05  ,9293E+03  -,9088603  ,3556192 -,2179632
B   83  1 ,3704888E+06 -  1434560E-07  ,7045E+04  ,2550E+03  -,0710972  ,9938748  ,0846057
B   85  1 ,4597961E+06 -  2505564E-09  ,3022E+04  ,6984E+02  -,2245412  ,9719376 -,0701325
B   86  1 ,4561639E+06 -  5481100E-08  ,3111E+04  ,1503E+01  -,0315326  ,9986761  ,0406424
B   87  1 ,4555355E+06 -  1003808E-07  ,3264E+04 -,5817E+02  -,0474170  ,9975036 -,0523287
B   88  1 ,2592438E+06 -  7221788E-08  ,1329E+05 -,1338E+04  -,0615883  ,9919578 -,1105743
B   89  1 ,4683628E+06 -  2895690E-07  ,2515E+04 -,7794E+02  -,2315078  ,9546082 -,1874229
B   92  1 ,4554170E+06 -  1657731E-07  ,3335E+04  ,3757E+02  -,0659950  ,9972583 -,0334736
B   94  1 ,4291792E+06 -  4567411E-08  ,4464E+04 -,1829E+02  -,1290679  ,9900840 -,0554543
B   95  1 ,3104512E+06 -  1939613E-08  ,1031E+05  ,4186E+03  -,0603628  ,9949795  ,0798257
B   96  1 ,4639933E+06 -  1353637E-08  ,2527E+04 -,6173E+00  -,0336100  ,9989646  ,0306624
B   97  1 ,1392992E+06 -  9651303E-07  ,2063E+05 -,7066E+03  -,3869219  ,9076933 -,1624325
B   98  1 ,2589444E+06 -  1631017E-07  ,1412E+05 -,1639E+04  -,1067343  ,9930898  ,0487893
B   99  1 ,3212344E+06 -  2687544E-07  ,9832E+04 -,7284E+03  -,1417423  ,9845194 -,1031050
B  100  1 ,1276738E+06 -  1041132E-07  ,1952E+05 -,2830E+03  -,1478381  ,9461549 -,2879841
B  101  1 ,4694580E+06 -  6990294E-09  ,1899E+04 -,2351E+02  -,0316508  ,9987086 -,0397408
B  102  1 ,4020685E+06 -  2873151E-07  ,5666E+04  ,3809E+03  -,1148147  ,9903378  ,0777727
B  104  1 ,4405770E+06 -  6730514E-07  ,3647E+04 -,1499E+03  -,4925280  ,7928593 -,3588735
B  105  1 ,4548546E+06 -  1849715E-08  ,2534E+04  ,1226E+02  -,0266088  ,9968677  ,0744770
B  106  1 ,4521905E+06 -  6952823E-08  ,2766E+04  ,6119E+02  -,0590257  ,9955690  ,0732010
B  107  1 ,4739043E+06 -  3233725E-07  ,1302E+04  ,3487E+00  -,5146545  ,8274543  ,2246110
B  109  1 ,4890858E+06 -  4643918E-08  ,6714E+03 -,8160E+01  -,0221563  ,9994055 -,0264131
B  110  1 ,4802721E+06 -  5519777E-08  ,1127E+04  ,2709E+01  -,0299368  ,9995259  ,0071972
B  111  1 ,4811765E+06 -  7652558E-08  ,1036E+04 -,5967E+01  -,0495144  ,9985973 -,0187554
B  114  1 ,3150692E+06 -  3818098E-09  ,1101E+05  ,4681E+03  -,0529862  ,9902551  ,1287916
B  115  1 ,4840138E+06 -  5529718E-08  ,7606E+03  ,3978E+01  -,0461491  ,9987056  ,0213873
B  117  1 ,2788072E+06 -  6221781E-07  ,1313E+05 -,1592E+04  -,3467752  ,9342468 -,0832454
B  119  1 ,4013474E+06 -  1252856E-07  ,6286E+04  ,7521E+02  -,0666952  ,9929797  ,0976886
B  120  1 ,3703126E+06 -  4774844E-08  ,7235E+04  ,4334E+03  -,0368295  ,9948831  ,0940804
B  121  1 ,2384914E+06 -  9656823E-08  ,1454E+05  ,3415E+03  -,0962138  ,8925476  ,4405698
B  123  1 ,1715427E+05 -  1923066E-06  ,2550E+05 -,2079E+04  -,9993041  ,0351203 -,0125620
B  124  1 ,4345260E+06 -  1078922E-08  ,4092E+04  ,6278E+02  -,0489351  ,9987894  ,0050124
B  126  1 ,1075903E+06 -  3056984E-07  ,1990E+05  ,3616E+02  -,1430849  ,9567596  ,2532545
B  127  1 ,4627455E+06 -  9250473E-08  ,2669E+04 -,2123E+02  -,0473813  ,9974223 -,0538866
B  128  1 ,3747272E+06 -  5657125E-08  ,7252E+04  ,2076E+02  -,0379027  ,9978852 -,0528054
B  130  1 ,4321702E+06 -  6338469E-08  ,3348E+04 -,5715E+02  -,0418104  ,9991068  ,0061255
B  131  1 ,6949065E+05 -  1386688E-06  ,2161E+05  ,2854E+03  -,9288585 -,1049311 -,3552624
B  132  1 ,3834569E+06 -  9019949E-08  ,7108E+04  ,1200E+04  -,0371401  ,9589691  ,2810673
B  134  1 ,4236046E+06 -  3520656E-07  ,4723E+04  ,4787E+03  -,2892678  ,8940247  ,3421168
B  136  1 ,4541751E+06 -  2557292E-08  ,2495E+04  ,1364E+02  -,0413392  ,9988815  ,0229531
B  137  1 ,4830626E+06 -  3446847E-08  ,1154E+04 -,1404E+01  -,0260411  ,9990396  ,0352377
B  138  1 ,4233720E+06 -  7650645E-08  ,5019E+04  ,3174E+03  -,1154750  ,9919188  ,0525614
B  142  1 ,4574524E+06 -  1980691E-07  ,2777E+04 -,6193E+02  -,0995223  ,9942625  ,0392106
B  143  1 ,4152154E+06 -  5852672E-08  ,5587E+04  ,3271E+03  -,0328308  ,9940873  ,1035012
B  144  1 ,4523805E+06 -  2670493E-08  ,2562E+04 -,4170E+02  -,0633727  ,9978101  ,0189454
B  145  1 ,4676773E+06 -  3202722E-07  ,1911E+04 -,4557E+02  -,1888309  ,9710007 -,1466308
B  152  1 ,6554935E+05 -  8519979E-07  ,2257E+05  ,1085E+04  -,3378099  ,8932889 -,2965119
B  155  1 ,4232223E+06 -  1923894E-07  ,4406E+04  ,2728E+03  -,2842828  ,9579786  ,0382125
B  158  1 ,4145355E+06 -  2413950E-08  ,4060E+04  ,4127E+03  -,1321735  ,9744547  ,1815714
B  159  1 ,4533210E+06 -  2917354E-08  ,3389E+04 -,1436E+03  -,0798022  ,9907085 -,1101286
B  160  1 ,8822509E+05 -  1606879E-06  ,2140E+05  ,2815E+03  -,6834072  ,6969956 -,2171447
B  161  1 ,2100226E+06 -  6184584E-07  ,1673E+05  ,1152E+04  -,2819963  ,9594102  ,0031982
B  163  1 ,4108689E+06 -  1679994E-07  ,5288E+04 -,1039E+02  -,1662634  ,9825060  ,0838949
